,en,ru
PLAY,play,играть
SETTINGS,settings,настройки
AUTHORS,authors,авторы
EXIT,exit,выход
BACK,back,назад
APPLY,apply,применить

TITLE_PROGRAMMER,programmer:,программист:
TITLE_PM,project mananger:,мененжер проекта:
TITLE_KEY_HUMANS,key people:,ключевые люди:
TITLE_SPECIAL_THANKS_TO,special thanks to:,большое спасибо:
TITLE_DISIGNERS,disigners:,дизайнеры:
TITLE_COMPOSITORS,composers:,композитор:

SCR_SZ,window size,размер окна
FULL_SCREEN_MODE,fullscreen,полноэкранный
LANG,language,язык
STT_SOUND_MN,volume in menu,громкость в меню
STT_SOUND_GM,volume in gameplay,громкость в игре
MEMENTO_MORI,end of the story,конец истории
BACK_TO_TILTE,to main menu,вернуться в главное меню
RUN_END_TIME,run time,время забега
RUN_END_LVL,level in run,уровень в забеге
END_RUN_ARENAS,complited arenas,пройдено арен

HP,health points (HP),жизненная сила (ЖЗ)
HP_REGEN,heals HP per second,лечение ЖЗ за секунду
DMG,attack damage, уронон атаки
CRIT_DMG,critical damage,критический урон
%CRIT_DMG,chance of critical damage,шанс критического удара
%ATT_SPEED,speed of attack,скорость атаки
DEF,defnce,защита
MAX_STAMINA_VALUE,stamina,выносливось
STAMINA_REGEN_VALUE,regenration of stamina per second,восполнение выносливости в секунду
%SPEED,movement speed,скорость движения
COLLECTING,item collecting range,расстояние сбора предметов
MONEY,money,деньги
CHP,health,здровье
CHP_REGEN,healing,выздоровление
CDMG,damage,урон
CCRIT_DMG,crit. damage,крит. урон
C%CRIT_DMG,crit. chance,шанс крит. ур.
C%ATT_SPEED,attack speed,скорость аттаки
CDEF,defnce,защита
CMAX_STAMINA_VALUE,stamina,выносливость
CSTAMINA_REGEN_VALUE,regen. stamina,восстановление
C%SPEED,move speed,скорость
CCOLLECTING,collecting,сбор

THE_SWORD_TEXT,sword upgrade,улучшение меча
ARMOR_TEXT,armor upgrade,улучшение брони
BOOTS_TEXT,boots upgrade,улучшение обуви
item1_TEXT,test upgrade. Don't buy it.,тестовое улучшение. Не покупай его.
PLAYER_ARENA_POS,You,Ты

DEF-HP_TEXT,update kit mixed with defance kit and hp kit,набор улучшений совмещённый с набором защиты и набором здоровья
DEF_TEXT,defance update kit,набор улучшения защиты
HP_TEXT,hp uptade kit,набор улучшения здоровья
AGILITY-DEF_TEXT,update kit mixed with defance kit and agility kit,набор улучшений совмещённый с набором защиты и набором ловкости
AGILITY-HP_TEXT,update kit mixed with agility kit and hp kit,набор улучшений совмещённый с набором ловкости и набором здоровья
AGILITY_TEXT,agility uptade kit,набор улучшения ловкости


SURIKEN_TEXT,stealth assassin throwing weapon,метательное оружие скрытных убийц

ZALLE_VOID_TEXT,you realy want to take it?,те реально хочешь купить это?
FALLE_VOID_TEXT,sum of words 2,сумма слов 2

CLASSIC,classic mode,классический режим
BOSSRUSH,bossrush mode,босс за боссом
INF,endless mode,бесконечный режим
TRAINING,training,обучение

WELCOME_TO_TRAINING,Welcome to the training. This training was created to introduce players to the experimental version of the `1vsALL` project. In the future some mechanics/visualizations may change.,Добро пожаловать на обучение. Данное обучение создано для ввода игроков в експерементальную версию проекта `1vsALL`. В будующем некоторые механники/визуализации могут измениться.
THIS_IS_STATS,This menu is intended to provide an overview of the character's current status.,Это меню предназначено для обзора текущего статуса персонажа.
THIS_IS_INV, This menu is designed to view the character's current equipment. Items need to be integrated into the gameplay. You won't see them yet.,Данное меню предназначено для просмотра текущего снаряжения персонажа. На данный момент предметы нужно интегрировать в игровой процесс. Но вы их пока не увидите.
THIS_IS_MAP,This menu is designed to review the current position of the character and plan actions.,Это меню предназначено для просмотра текущего положения персонажа и планирования действий.
THIS_IS_SHOP,This square is a safe store. It acquires new improvements and/or deteriorations in characteristics. In-game items will also be added soon.,Этот квадрат является безопасным магазином. В нем приобретаются новые улучшения и/или ухудшения характеристик. Вскоре также добавятся внутриигровые предметы.
THIS_IS_OCUPED_SHOP,This square is an occupied store. Kill the enemies in this place to enter it. It acquires new improvements and/or deteriorations in characteristics. In-game items will also be added soon.,Этот квадрат является окупированным магазином. Убейте врагов вэтом месте чтобы войти в него. В нем приобретаются новые улучшения и/или ухудшения характеристик. Вскоре также добавятся внутриигровые предметы.
THIS_IS_ARENA,This  area is a battlefield. First you will destroy the enemies and only then will you be able to gain safe passage.,Эта территория является полем боя. Сначала вы уничтожите врагов и только тогда сможете получить безопасный проход.
THIS_IS_EXIT,Your target may be in this area. You must reach the target.,На этой области может находится ваша цель. Вы должны достичь цели.
TRAINING_END,At this moment you can left-click on the next active battlefield/shop button.,когда это сообщение закроется вы можете щелкнуть левой кнопкой мыши по кнопке следующего активного поля боя/магазина.
